"file_name","start_date","end_date","salary_start","salary_end","classcode","req","notes","duties","selection","experience_length","education_length","application_location"
"MECHANICAL ENGINEERING ASSOCIATE ","2017-06-16","2017-06-29","66231.0","94252.0","7554","1. A Bachelor's or Master's degree in engineering from an accredited college or university, which includes at least 24 semester units or 36 quarter units of core courses in mechanical engineering; or  2. Certification as an Engineer-In-Training recognized by the State of California Board for Professional Engineers, Land Surveyors, and Geologists; or  3. Registration as a Professional Engineer with the State of California Board for Professional Engineers, Land Surveyors, and Geologists.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Mechanical Engineering Associate performs professional mechanical engineering work in the preparation of plans, designs, specifications, reports, estimates, recommendation of awards, studies, quality assurance programs, safety and health testing, and in research, testing and inspection activities related to the manufacturing, construction, installation, operation and maintenance of mechanical equipment and systems, or checking mechanical systems of buildings for code compliance and operation and maintenance feasibility; may perform code enforcement functions relating to design and specifications of plumbing, mechanical and elevator installations and related equipment approval; and does related work.",,,,"Mail or In Person"
"POLICE LIEUTENANT ","2018-02-09","2018-02-22","125572.0","139916.0","2232","1. Two years as a Police Sergeant, Police Detective II, or Police Detective III in the Los Angeles Police Department (LAPD) by October 7, 2018, one year of which must have been in a supervisory capacity; and  2. Completion of 90 semester or 135 quarter units from an accredited college or university.     Under the policy of rounding off experience to the nearest full month, continuous service beginning on or before October 21, 2016 meets the two-year experience requirement.  Candidates must meet the experience requirement prior to appointment to Police Lieutenant.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Police Lieutenant plans, organizes, and directs the work of sworn and civilian employees engaged in the operation of an assigned watch or a 24-hour team in a police division or an investigational unit or detail; commands a specialized division or section; applies sound supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities and does related work.",,,,"Online"
"CUSTOMER SERVICE SPECIALIST ","2018-10-12","2018-12-01","50237.0","73476.0","1229","1. Two years of full-time paid call center operation or direct customer service experience, responding to customer inquiries in person, telephonically, via e-mail, or through on-line chat activities; or  2. Six months of full-time or 960 cumulative hours paid experience with the City of Los Angeles Office of Finance at the level of a Tax Renewal Assistant directly handling or providing clerical support for processing business tax billings or payments, and   3. Completion of a four week Business Tax Ordinance class provided by the City of Los Angeles Office of Finance.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.   2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","A Customer Service Specialist performs specialized business tax, licenses, and permits work, involving cashiering, various aspects of processing and reviewing customer requests for service, billing questions and resolutions, as well as service complaints, responding to the public's concerns and requests for information on City business tax and associated permits, Lifeline exemptions and reductions, ordinances, rules, regulations, and policies, including the use of a computer terminal for inputting requests, reviewing billing information, and following up on requests; and does related work.","[Test, Interview]","Two",,"Online"
"AIR CONDITIONING MECHANIC ","2017-04-14","2017-04-27",,,"3774","1. Completion of a recognized apprenticeship as a refrigeration and air conditioning fitter; or  2. Six years of full-time paid experience installing, modifying, maintaining, and repairing air conditioning, refrigeration, heating, ventilating, and related equipment.    Completion of 12 semester or 18 quarter units in Air Conditioning Technology, Refrigeration and Air Conditioning Mechanics or Air Conditioning and Refrigeration Technology from a recognized college or trade school may be substituted for each year of the experience lacking specified in Requirement #2, up to a maximum of two years.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","An Air Conditioning Mechanic installs, modifies, maintains, and repairs air-conditioning, refrigeration, heating, ventilating, and related equipment including control systems which may utilize electric, electronic, pneumatic or direct digital controls.",,"Six",,"Online"
"PORT PILOT		 ","2017-08-18","2017-09-14","173554.0","193432.0","5151","1. Three years of recent (See Notes #1 & #2 below) full-time paid experience as a United States Coast Guard licensed Master, Staff Captain, or Chief Mate of an inspected vessel, of not less than 5,000 gross tons, upon oceans while holding at minimum, a current, valid United States Coast Guard Merchant Mariner Credential in the Capacity and Limitations (If any): Master of Self-Propelled Vessels not Including Auxiliary Sail of Unlimited Tonnage Upon Oceans; or  2. Three years of recent (See Note #1 & #2 below) full-time paid experience as an operator of a ship-assist tugboat within the confines of San Pedro Bay and its tributaries, while holding at minimum, a current, valid United States Coast Guard Merchant Mariner Credential in the Capacity and Limitations (If any):  Master of Self-Propelled Vessels not Including Auxiliary Sail of Less than 1600 Gross Registered Tons (GRT) and Master of Towing Vessels; or  3. Three years of recent (See Note #2 & #3 below) full-time paid experience as a fully-trained port pilot whose duties include docking and undocking of oceangoing or coastwise vessels in a major port of the United States while holding at minimum, a current, valid United States Coast Guard Merchant Mariner Credential in the Capacity and Limitations (If any): Master of Self-Propelled Vessels not Including Auxiliary Sail of Unlimited Tonnage Upon Oceans or Master of Self-Propelled Vessels not Including Auxiliary Sail of Less than 1600 Gross Registered Tons (GRT) and Master of Towing Vessels.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Port Pilot navigates oceangoing vessels entering or leaving Los Angeles Harbor and operates communications and navigational equipment.    NOTE:	    All entry level Paygrade I positions are temporary training positions.  Employment in such positions is limited to two years during which time incumbents must qualify for advancement to the Port Pilot II level.",,"two",,"Online"
"VIDEO PRODUCTION COORDINATOR ","2017-01-27","2017-02-09","52951.0","77402.0","1802","Three years of full-time paid experience in video production coordination, including shooting, editing, and producing video, and performing general administrative work.    Completion of 60 semester or 90 quarter units from an accredited college or university with successful completion of at least 12 semester or 18 quarter units in Communications or a closely related field may substitute for one year of the required experience.","Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Video Production Coordinator performs a combination of production and administrative tasks related to planning, organizing, and coordinating municipal productions and operations; coordinates the development of video productions for use in public presentations, community meetings, theaters, live events, public exhibits, school programming, on the web and in social media; schedules and coordinates requests for production, editing, translation and closed captioning; serves as producer, associate producer, director, post production supervisor, and scriptwriter for municipal projects; assists in the recruitment, evaluation, and selection of contractors; develops the plan, schedule, and budget for a wide range of video productions; may also shoot, edit, and produce videos, and tailor video content for social media; and does related work.","[Questionnaire, Interview]","Three",,"Online"
"HOUSING INSPECTOR ","2018-07-06","2019-03-02","83144.0","100516.0","4243","1. One year of full-time paid experience as an Assistant Inspector III with the City of Los Angeles; or  2. Two years of full-time paid experience in carpentry, masonry, electrical, plumbing or heating following satisfactory completion of a recognized apprenticeship program; or  3. Eight years of full-time paid carpentry, masonry, heating, electrical or plumbing craft experience; or  4. Four years of full-time paid experience as a building construction superintendent, general contractor, or supervisor of journey-level craft employees engaged in construction work; or  5. Two years of full-time paid experience as a housing, building, electrical, plumbing, mechanical or combined inspector for a governmental agency; or  6. Two years of full-time paid experience working in the construction trades as a helper to a journey-level craft person; and  a. Completion of a certificate in Construction Inspection or Construction Technology; or  b. Possession of at least an Associate of Arts Degree from an accredited college or university with at least 12 semester or 18 quarter units in any of the following areas: engineering, construction, design, building inspection technology, construction inspection, architectural drafting, civil, mechanical, or electrical engineering technology.","1. Annual salary is the beginning of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Housing Inspector inspects residential rental property locations for conformance to the building standards and codes contained in the State Housing Law and Regulations and City of Los Angeles Building Regulations, such as the Los Angeles Municipal Code, relating to the habitability, maintenance, sanitation, ventilation, use, and occupancy of said properties; and investigates code violation complaints and follows through with the code enforcement process by way of prosecution or administrative abatement.","[Test]","One",,"Online"
"LIBRARIAN ","2017-05-12","2018-02-12","62347.0","77464.0","6152","A master's degree in Library Science or Library and Information Science from a school accredited by the American Library Association.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Librarian provides patrons of all ages with a variety of professional librarian services, including outreach and virtual/online resources and programs, reader guidance and book reviews, reference, selection, cataloging and maintenance of library materials to meet educational, recreational and informational needs of the community, programming to support lifelong learning, educational, and cultural interests of the community, training in technologies and library resources and services, and implementation of library technologies and virtual services.","[Interview]",,,"Online"
"SENIOR HOUSING INVESTIGATOR ","2017-02-03","2017-02-23","79239.0","115863.0","8517","1. Two years of full-time paid experience with the City of Los Angeles at the level of Housing Investigator, investigating complaints, analyzing evidence and preparing legal documents related to civil or criminal enforcement actions under housing law; one year of which must include acting in a lead capacity over staff involved in performing these functions; or  2. Four years of full-time paid experience investigating complaints, analyzing evidence and preparing legal documents related to civil or criminal enforcement actions under housing law, one year of which must include supervision of staff.    A law degree from an accredited law school within the United States may be substituted for a maximum of two years of full-time paid experience as specified in Requirement Number Two; or    A paralegal certificate from an accredited paralegal training program within the United States may be substituted for a maximum of one year of the full-time paid experience as specified in Requirement Number Two.","1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Senior Housing Investigator plans, organizes and directs the work of Housing Investigators and clerical support staff engaged in the investigation and analysis of alleged violations of the City's Rent Stabilization Ordinance (RSO) and/or Housing Code (Los Angeles Municipal Code Chapters XV and XVI) and related office activities; handles the negotiation of more difficult complaint settlements and case closures; may act as an Assistant Director for Rent Stabilization or as a lead over other Senior Housing Investigators; may supervise a public information and payment counter within a field office; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and performs related work.","[Essay, Interview]","Two",,"Online"
"AIRPORTS PUBLIC AND COMMUNITY RELATIONS DIRECTOR ","2017-12-08","2017-12-21","86777.0","123463.0","1788","1.		Two years of full-time paid professional experience as a Principal Public Relations Representative or in a class at that level with responsibility for public relations program management and development with the City of Los Angeles; or  2.		Graduation from an accredited four-year college or university with a degree in journalism, English, public relations, or communications and two years of full-time paid professional experience in supervising a public relations staff responsible for a comprehensive public information program; or  3.		Graduation from an accredited four-year college or university and four years of full-time paid professional experience in public relations managing a comprehensive public information program.","Annual salary is at the start of the pay range. The current salary is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","An Airports Public and Community Relations Director plans, develops, administers and assists in the planning and administration of the public and community relations programs of the Los Angeles World Airports; advises management of the potential public relations effect of proposed actions; maintains and develops strong community outreach programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Questionnaire]","Two","four","Mail or In Person"
"ELECTRICAL ENGINEERING ASSOCIATE ","2016-09-30","2016-10-11","66231.0","94252.0","7525","1. A Bachelor's or Master's degree in engineering from an accredited college or university, which includes at least 24 semester units or 36 quarter units of core courses in electrical engineering; or  2. Certification as an Engineer-In-Training recognized by the State of California Board for Professional Engineers, Land Surveyors, and Geologists; or  3. Registration as a Professional Engineer in Electrical Engineering with the State of California Board for Professional Engineers, Land Surveyors, and Geologists.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","An Electrical Engineering Associate performs professional electrical engineering work in the preparation of designs, plans, specifications, engineering economic and cost analysis studies, schedules, contracts and reports for electrical systems and equipment, buildings and marine facilities and equipment; conducts quality assurance and safety testing, inspection, and research activities; provides technical direction in the licensing, design, construction, installation, maintenance, and operation of a wide variety of electrical systems and equipment; may perform code enforcement functions relating to designs and specifications of electrical installations and equipment approval; and does related work.","[Interview]",,,"Online"
"DIRECTOR OF ENFORCEMENT OPERATIONS ","2018-01-26","2018-02-08","123066.0","179943.0","4266","1. Graduation from an accredited four-year college or university and two years of full-time paid professional experience supervising professional staff engaged in any of the following areas:  the management and administration of a housing habitability enforcement program or the management and administration of a rent stabilization/rent control program; or  2. Two years of full-time paid professional experience as an attorney which provides experience in civil or criminal enforcement actions related to housing habitability matters or rent stabilization/rent control matters; or  3. Two years of full-time paid experience with the City of Los Angeles, as a Chief Inspector or in a position at the level of a Senior Management Analyst II responsible for overseeing the operations of a Code Enforcement Program or Rent Stabilization Program.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job.","A Director of Enforcement Operations plans, coordinates, and directs or assists in directing the activities of a Division which is responsible for carrying out the City's systematic and complaint inspection programs, rent stabilization programs, and habitability enforcement programs; or the development and direction of specialized housing programs; oversees administrative and budgetary matters of the Division; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Interview]","two","four","Online"
"PRINCIPAL PHOTOGRAPHER ","2016-04-01","2016-04-14","75335.0","110142.0","1794",,"1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.",,"[Essay, Interview]","One",,"Online"
"TRAFFIC OFFICER ","2016-04-01","2016-04-12","45017.0","48838.0","3214",,"1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Initial appointments are anticipated to be made on a part-time basis.",,"[Test, Questionnaire]","One","four","Online"
"IMPROVEMENT ASSESSOR SUPERVISOR ","2015-10-02","2015-10-15","63057.0","92185.0","1564",,"1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.",,,"Three",,"Online"
"INDUSTRIAL AND COMMERCIAL FINANCE OFFICER ","2015-05-15","2015-05-28","87048.0","127242.0","9191",,"1. Candidates from the eligible list normally are appointed only to vacancies in the lower pay grade positions.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.",,"[Essay, Interview]","Two","four","Online"
"CONSTRUCTION ESTIMATOR ","2016-07-08","2016-07-28","70428.0","102980.0","3341",,"1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.",,"[Essay, Interview]","Two",,"Mail or In Person"
"ASSISTANT RETIREMENT PLAN MANAGER ","2016-05-06","2016-05-19","111749.0","159022.0","9415",,"1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.",,"[Essay, Interview]","Two","four","Online"
"SENIOR CLAIMS REPRESENTATIVE ","2017-07-07","2017-07-20","76984.0","95651.0","1770","Three years of full-time paid experience in the investigation or adjustment of personal injury or property damage claims.","1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","A Senior Claims Representative performs investigations and prepares or analyzes reports of accidents, injuries and property damage which result in claims by or against the Department of Water and Power.    NOTE:     Senior Claims Representatives may be asked to be on-call to work evenings and weekends.","[Essay, Interview]","Three",,"Online"
"CUSTODIAN SUPERVISOR ","2017-04-28","2017-05-18","36477.0","51907.0","3176","1. Four years of full-time paid custodial experience with the City of Los Angeles at the level of Custodian with two of the four years working as a lead or supervisor of a crew engaged in custodial work; or  2. Four years of full-time paid custodial experience, which includes:  a. One year performing floor care maintenance activities; and  b. Two years supervising custodial employees.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.   2. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Custodian Supervisor assigns, reviews and evaluates the work of one or more groups of custodial employees engaged in a variety of cleaning and custodial tasks in City buildings, creates memorandums and supervisory paperwork on computers, communicates effectively via verbal, written and electronic formats, applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.","[Written]","Four",,"Online"
"CHIEF PORT PILOT ","2016-03-18","2016-03-31","245758.0","281462.0","5154",,"1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade position.   2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.",,"[Interview]","Three","four","Online"
"TELECOMMUNICATIONS PLANNING AND UTILIZATION OFFICER ","2017-12-22","2018-01-04","99618.0","141775.0","7640","1. Two years of full-time paid experience as a Telecommunications Planner or in a position at that level, identifying, analyzing, evaluating, recommending, coordinating and managing a variety of telecommunications plans and systems; or  2. Two years of full-time paid experience as a Communications Engineer identifying, analyzing, evaluating, recommending, coordinating and managing a variety of telecommunications plans and systems.","Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Telecommunications Planning and Utilization Officer directs telecommunications activities in the Department of Airports or the Information Technology Agency; coordinates the development of plans; directs the implementation and management of telecommunications systems and municipal uses of cable television; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Interview]","Two",,"Online"
"INFORMATION SYSTEMS MANAGER ","2017-09-01","2017-09-14","111373.0","158500.0","1409","Two years of full-time paid supervisory experience in a position at the level of Programmer Analyst V, Systems Programmer III, or Senior Systems Analyst II which provides experience in the analysis, design, implementation, operation or maintenance of computer based information systems, network, and computerized data and/or software.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","An Information Systems Manager plans, organizes and directs the work of employees of a major section performing information systems work; defines the scope and tasks of project activities and reviews and reports activity status to management; assists in development of budgets and intermediate and long-range plans; assists in the formulation and organization of information systems training programs; in the Department of Water and Power, manages communication liaisons with customer business/user units; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Questionnaire, Interview]","Two",,"Online"
"CIVIL ENGINEERING DRAFTING TECHNICIAN   ","2017-08-04","2017-08-24","50759.0","74228.0","7232","1. Completion of 12 semester units or 18 quarter units in Computer Aided Drafting  and  Design (CADD) and completion of one course in Geometry and Trigonometry from a high school, accredited college, university, trade school, or technical school; or  2. Two years of full-time paid engineering drafting experience which includes one year of engineering drafting experience and one year of experience using a CADD system.","1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Civil Engineering Drafting Technician performs drafting using a Computer Aided Drafting 	and Design (CADD) system and other tools, in the preparation of engineering designs, plans, and maps.","[Test]","Two",,"Online"
"MOTOR SWEEPER OPERATOR ","2018-03-16","2018-03-29","55185.0","80659.0","3585","1. A valid California Class B driver's license and valid medical certificate; and  2. One year of full-time paid experience in the operation, maintenance, or repair of commercial class motor sweepers; or  3. Satisfactory completion of either:  a. a Motor Sweeper Operator course from a technical or trade school; or  b. the Motor Sweeper Operator course certified by the Los Angeles Unified School District; or  c. the Motor Sweeper Operator course (Street Maintenance 210) given by the Los Angeles Trade Technical College.","1. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Motor Sweeper Operator operates a mechanical motor-driven street sweeper on public roadways and City-owned facilities in an assigned area and makes mechanical adjustments and minor repairs to sweepers.     A Motor Sweeper Operator may be required to work nights, Saturdays, Sundays, and holidays.","[Test, Test]","One",,"Online"
"RECREATION FACILITY DIRECTOR ","2017-05-12","2017-05-25","51657.0","73518.0","2434","1. Graduation from an accredited four-year college or university; and  2. Two years of full-time paid experience providing recreation and leisure services for an agency or organization that conducts professional recreation programs.","1. Candidates from eligible list are normally appointed to vacancies at the lower pay grade positions.  2. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Recreation Facility Director formulates, organizes and conducts a comprehensive program of recreational activities for adults and children at a City recreation facility; develops, implements and coordinates fundraising activities and events; accounts for, keeps records of, and transmits funds collected from the public; and administers and manages the Municipal Recreation Program account; or acts as Director-In-Charge of larger, more complex facilities; assists the Recreation Supervisor in coordinating a broad range of regional or citywide events; conducts in-service training; acts in the absence of the Recreation Supervisor; assigns, reviews, and evaluates the work of subordinates engaged in conducting community recreation activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Essay, Interview]","Two","four","Online"
"COMMUNICATIONS ENGINEERING ASSOCIATE ","2018-08-10","2018-08-23","66231.0","96841.0","7607","1. Graduation from an accredited four-year college or university with a major in engineering, which includes at least 24 semester units or 36 quarter units of communications engineering or electrical engineering courses; or  2. Possession of a valid Engineer-in-Training Certificate (EIT) recognized by the California State Board of Registration for Professional Engineers.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Communications Engineering Associate performs professional communications engineering work in the preparation of plans, designs, specifications, estimates, studies, reports, and cost and service analyses for the City's communications systems; gives technical direction in the construction, installation, maintenance, and operation of Local Area Network (LAN), Wide Area Network (WAN), other communications systems and equipment such as security systems, IT cable infrastructure, radio, audio/video, telephone, microwave; and does related work.","[Interview]",,"four","Online"
"POWER ENGINEERING MANAGER ","2017-04-28","2017-05-11","145638.0","180966.0","9453","1. Two years of full-time paid experience with the Department of Water and Power as an Electrical Engineer, or in a class which is at that level, supervising the planning, design, construction, operation, and/or maintenance of generation, transmission, and distribution of electricity to the City of Los Angeles; and  2. Registration as a Professional Engineer with the State of California Board for Professional Engineers, Land Surveyors, and Geologists.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Power Engineering Manager may serve as the manager or assistant manager of a division, major section, or major project of the Power System of the Department of Water and Power (LADWP); may act as an advisor to the General Manager or to an Assistant General Manager; performs difficult and responsible professional engineering and administrative work in managing the planning and the preparation of plans, design specifications, contracts, budgets, legislative reports and procedures for the various components of the energy resource generation, transmission, distribution, construction, maintenance, and operation activities of the LADWP; applies sound supervisory and management principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.","[Interview]","Two",,"Online"
"BACKGROUND INVESTIGATION MANAGER ","2017-06-09","2017-06-22","102165.0","149375.0","1759","1.	One year of full-time paid experience (or 2,080 cumulative work hours) as a Background Investigator III, Special Investigator II, Police Special Investigator, or Fire Special Investigator with the City of Los Angeles; or  2.	Two years of full-time paid experience (or 4,160 cumulative work hours) as a Background Investigator II or Special Investigator I with the City of Los Angeles; or       3. 	Currently employed as a full-time paid Background Investigator with the City of Los Angeles and three years of full-time paid sworn experience in a position at the level of lieutenant.  4. 	Three years of full-time paid experience at the level of a background investigator with an agency supervising personnel engaged in the personal and professional background investigations of candidates for public safety positions.","1. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.","A Background Investigation Manager is a civilian employee who directs a large staff of Background Investigators engaged in the personal and professional background investigations of candidates for public safety-sensitive positions of various City departments; plans, organizes, and assigns work and resources; may act as staff advisor to management; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and performs other related duties.","[Questionnaire]","One",,"Online"
"SENIOR HEAVY DUTY EQUIPMENT MECHANIC ","2017-01-20","2017-02-02",,,"3745","Two years of full-time paid journey level experience as a Heavy Duty Equipment Mechanic, or in class at that level in the maintenance and repair of construction, road maintenance, marine, or firefighting vehicles.","1. For information regarding reciprocity between City of Los Angeles departments and LADWP, go to: http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Senior Heavy Duty Equipment Mechanic supervises and works with a small group of employees doing journey-level work in the maintenance and repair of construction, road maintenance, marine, or firefighting equipment.","[Test, Interview]","Two",,"Online"
"SENIOR STREET LIGHTING ENGINEER ","2018-06-22","2018-07-05","105444.0","154115.0","9536","1. Two years of full-time paid professional engineering experience at the level of Street Lighting Engineer or in a position in the City of Los Angeles designated as a Project Manager I, II, or III receiving the appropriate salary bonus; and  2. Registration as a Professional Engineer with the California State Board for Professional Engineers, Land Surveyors, and Geologists.","1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.","A Senior Street Lighting Engineer reports to the Assistant Director with respect to engineering services performed by the Bureau; plans, organizes and directs the work programs of engineering divisions; may represent the Bureau before the City Council, various City Commissions and community groups; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Essay, Interview]","Two",,"Online"
"FIRE SPRINKLER INSPECTOR ","2017-06-23","2017-07-13","80283.0","97092.0","4240","1.	Four years of full-time paid experience as a journey-level fire sprinkler fitter installing fire sprinklers and standpipe systems in commercial facilities using the National Fire Protection Association standards; or  2.	Four years of full-time paid experience as a fire sprinkler inspector having jurisdictional authority by a City, County or State agency on commercial facility fire sprinkler and standpipe installations using the National Fire Protection Association standards.","The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.","A Fire Sprinkler Inspector inspects fire sprinkler and standpipe installations for conformance to the provisions of pertinent laws, construction specifications, and adopted National Fire Protection Association Standards; and assists in training other inspection employees as required.","[Interview]","Four",,"Online"
"APPRENTICE - METAL TRADES ","2016-07-08","2016-07-21","63036.0","81056.0","3789",,"1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.  2. The current salary range is subject to change and may vary depending on the individual Apprenticeship Program. You may confirm the starting salary with the hiring department before accepting a job offer.",,"[Test]",,,"Online"
"REPROGRAPHICS SUPERVISOR ","2017-09-15","2017-09-28","47752.0","69822.0","3163","Three years of full-time paid experience as a Reprographics Operator or in a class at that level in a micrographics or reprographics facility operating scanners, microfilm cameras, high-speed duplicators and electrostatic copiers.","1. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting the job offer.  2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.  3. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.","A Reprographics Supervisor assigns, reviews, and evaluates the work of Reprographics Operators engaged in micrographic or engineering reprographic work; coordinates the work of a micrographic or engineering reprographics facility; or directs the activities of a large, multifunction micrographic-reprographic facility; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","[Interview]","Three",,"Online"
